rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,R_acpt,ceta_acpt,k_t_d,e_d_co,k_t_ne,e_ne_co,eps_v,alpha_p_co,alpha_m_co,alpha_delta_co,Qdiag
1478608954037489463,,117,,1478608954,36876730,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608954217217757,,118,,1478608954,216698077,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608954253462753,,119,,1478608954,252110271,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608954565801944,,120,,1478608954,565521185,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608954780361837,,121,,1478608954,779934861,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608954818692003,,122,,1478608954,818384568,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608955267833281,,123,,1478608955,267162484,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608955302664443,,124,,1478608955,301894405,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608955546024759,,125,,1478608955,545569944,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
1478608955722858406,,126,,1478608955,722435542,'',30.0,0.800000011921,0.40000000596,30.0,0.40000000596,60.0,0.5,0.139599993825,-0.0524000003934,0.0348999984562,"[100.0, 80.0, 10.0, 10.0, 5.0, 10.0, 150.0, 150.0, 50.0, 10.0, 120.0, 10.0, 60.0, 150.0, 50.0, 100.0]"
