rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,timestamp,uElev,uThrot,uThrot2,uAilL,uAilR,uRud,obctrl_status
1478608974495612856,,108,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974545599536,,109,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974595721032,,110,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974645306811,,111,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974695656153,,112,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974745639307,,113,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974795653362,,114,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974845244154,,115,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974895949682,,116,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974945414319,,117,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974995703509,,118,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975045358852,,119,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975095677793,,120,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975145603258,,121,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975195655702,,122,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975245304420,,123,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975295652062,,124,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975345631354,,125,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975395698473,,126,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975445304715,,127,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975495659832,,128,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975545375915,,129,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975595414433,,130,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975645388650,,131,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975695562348,,132,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975745492951,,133,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975795846405,,134,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975845449934,,135,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975895590694,,136,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975945344591,,137,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608975995443749,,138,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976045240235,,139,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976095530012,,140,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976145610194,,141,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976195615487,,142,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976245597004,,143,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976295712325,,144,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976345582188,,145,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976395475252,,146,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976445550560,,147,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976495723108,,148,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976545621609,,149,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976595711280,,150,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976645367536,,151,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976695595548,,152,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976745640142,,153,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976795614071,,154,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976845169624,,155,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976895750823,,156,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976945724377,,157,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608976995712994,,158,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977045475566,,159,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977095688191,,160,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977146060833,,161,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977195685488,,162,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977245232766,,163,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977295406539,,164,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977345597788,,165,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977395686896,,166,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977445546071,,167,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977495395158,,168,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977545424564,,169,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977595500434,,170,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977645399823,,171,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977695663699,,172,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977745658342,,173,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977795363212,,174,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977845306065,,175,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977895592942,,176,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977945666262,,177,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608977995506661,,178,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978045683797,,179,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978095707340,,180,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978145667219,,181,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978195581559,,182,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978245684417,,183,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978295502153,,184,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978345547122,,185,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978395712308,,186,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978445404927,,187,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978495189725,,188,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978545544442,,189,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978595636150,,190,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978645616829,,191,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978695723488,,192,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978745719068,,193,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978795439663,,194,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978845475832,,195,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978895412635,,196,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978945241196,,197,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608978995611639,,198,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979045692346,,199,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979095138608,,200,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979145550877,,201,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979195589520,,202,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979245581487,,203,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979295680358,,204,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979345542146,,205,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979395803147,,206,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979445674210,,207,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979495710866,,208,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979545383786,,209,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979595712564,,210,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979645331981,,211,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979695714824,,212,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979745523960,,213,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979795359009,,214,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979845148507,,215,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979895145662,,216,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979945208894,,217,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608979995611750,,218,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
